source;author;title;description;url;publishedAt;content;country;category;sentiment
NBC News;Matt Bradley;Disease, hunger and Israeli strikes: Six months after Trump’s ceasefire in Gaza;She spent the winter struggling to protect her six young children from the biting cold and driving rain.;https://www.nbcnews.com/world/gaza/disease-hunger-israeli-strikes-six-months-trumps-ceasefire-gaza-rcna341013;2026-04-25T10:08:32Z;Optimistic plans to improve the enclaves security, provide reconstruction and humanitarian relief, and institute a more permanent governance structure in Gaza are gridlocked by diplomatic disagreemen… [+3323 chars];Unknown;Displacement-Driven Crisis (refugees, camps, migration);negative
Daily Post Nigeria;Pache Chiedozie;Biafra: 'Nigeria's breakup likely inevitable and just' - Ex-US mayor Mike Arnold;"A former mayor in the United States,, Mike Arnold, has said the breakup of Nigeria is ""likely inevitable and just"". Arnold, known for being sympathetic to the Biafra struggle, made the statement in a presentation to members of the US Congress. In the presenta…";https://dailypost.ng/2026/04/25/biafra-nigerias-breakup-likely-inevitable-and-just-ex-us-mayor-mark-arnold/;2026-04-25T09:35:32Z;"A former mayor in the United States,, Mike Arnold, has said the breakup of Nigeria is “likely inevitable and just”.
Arnold, known for being sympathetic to the Biafra struggle, made the statement in … [+4538 chars]";Niger;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
Vanguard;Oboh;Sachet Alcohol: Sacrificing our children for profit?;"NAFDAC’s decision to ban the production and sale of alcohol in sachets and small bottles (below 200 ml) is not an act of regulatory overreach
The post Sachet Alcohol: Sacrificing our children for profit? appeared first on Vanguard News.";https://www.vanguardngr.com/2026/04/sachet-alcohol-sacrificing-our-children-for-profit/;2026-04-25T06:46:44Z;"By Magnus Onyibe
The National Agency For Food and Drugs Admistration Commission, NAFDACs decision to ban the production and sale of alcohol in sachets and small bottles (below 200 ml) is not an act … [+15019 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
The Irish Times;Sally Rooney;Sally Rooney: Fragility of global fuel systems strengthens the case for rationing;We cannot increase the amount of oil and gas available, but we can decide how to fairly distribute the supply;https://www.irishtimes.com/life-style/people/2026/04/25/sally-rooney-fragility-of-global-fuel-systems-strengthens-the-case-for-rationing/;2026-04-25T05:00:00Z;"When goods are scarce, how are they distributed? That is: when lots of people want something, but there isnt enough for everyone, who gets what they want and who doesnt? 
In a market system, prices … [+7066 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
Smallwarsjournal.com;Víctor M. Vázquez Rodríguez;Structural Consequences of Economic Crisis and US Militarization in the Caribbean: Drug Scarcity, Crime Escalation, and Narco-Entrepreneurship in Puerto Rico;Since 2025, Puerto Rico has become a front line in the US fight against transnational drug trafficking, but the island’s struggle is more than a security issue. Amid an ongoing fiscal crisis, recurring natural disasters, and prolonged political instability, m…;https://smallwarsjournal.com/2026/04/24/structural-consequences-of-economic-crisis-and-us-militarization-in-the-caribbean-drug-scarcity-crime-escalation-and-narco-entrepreneurship-in-puerto-rico/;2026-04-24T23:00:33Z;Since 2025, Puerto Rico has become a front line in the US fight against transnational drug trafficking, but the islands struggle is more than a security issue. Amid an ongoing fiscal crisis, recurrin… [+40031 chars];Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
Ewtnnews.com;Gigi Duncan;Catholic Relief Services urges lawmakers to prioritize global hunger as farm bill vote nears;The humanitarian agency stressed the need to protect international food assistance amid growing global hunger and domestic policy debates.;https://www.ewtnnews.com/world/us/catholic-relief-services-urges-lawmakers-to-prioritize-global-hunger-as-farm-bill-vote-nears;2026-04-24T22:10:09Z;"WASHINGTON, D.C. As the U.S. House of Representatives nears a crucial vote on the farm bill, Catholic Relief Services (CRS) is urging lawmakers not to sideline international hunger relief.
In a rece… [+7726 chars]";Unknown;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);neutral
Lse.ac.uk;Blog Admin;What it means if US actions during the Iran conflict may have broken international humanitarian law;Since the conflict began, the US has faced accusations that some of its actions against Iran may constitute violations of international law. Jim Rice writes that these alleged breaches should be seen in the context of previous US actions targeting suspected d…;https://blogs.lse.ac.uk/usappblog/2026/04/24/what-it-means-if-us-actions-during-the-iran-conflict-may-have-broken-international-humanitarian-law/;2026-04-24T17:33:45Z;Since the conflict began, the US has faced accusations that some of its actions against Iran may constitute violations of international law. Jim Rice writes that these alleged breaches should be seen… [+7459 chars];Iran;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
gcaptain.com;Paul Morgan;Middle East Reconstruction Poses a Carbon Shock as Shipping Bears the Climate Bill;New academic research suggests reconstruction emissions from Gaza could rival weeks of global shipping emissions, raising questions about carbon accountability. By Paul Morgan (Opinion) – The concrete and steel needed...;https://gcaptain.com/middle-east-reconstruction-poses-a-carbon-shock-as-shipping-bears-the-climate-bill/;2026-04-24T17:20:52Z;"New academic research suggests reconstruction emissions from Gaza could rival weeks of global shipping emissions, raising questions about carbon accountability.
By Paul Morgan (Opinion) – The concre… [+13156 chars]";Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
Truthout;Nour Abo Aisha;Lacking Proper Sanitation, Gaza’s Tent Camps Are Being Overrun by Rodents;As conditions in Gaza’s tent camps worsen, rodents bring disease and destruction.;https://truthout.org/articles/lacking-proper-sanitation-gazas-tent-camps-are-being-overrun-by-rodents/;2026-04-24T17:04:09Z;"Part of the Series
Truthout is a vital news source and a living history of political struggle. If you think our work is valuable, support us with a donation of any size.
In Gaza, displaced families… [+9863 chars]";Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);negative
Freerepublic.com;;Trump’s War of Choice With Iran Threatens a Global Hunger and Health Crisis;President Trump’s war of choice is generating a devastating food and health crisis, made far worse by his administration’s gutting of the global humanitarian system.;https://freerepublic.com/focus/f-news/4376287/posts;2026-04-24T17:00:29Z;"Skip to comments.
Trumps War of Choice With Iran Threatens a Global Hunger and Health Crisishttps://www.americanprogress.org/article/trumps-war-of-choice-with-iran-threatens-a-global-hunger-and-heal… [+4035 chars]";Iran;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
The Times of India;Muskan Singh;Quote of the Day by Michael Jackson: 'The most difficult thing is the decision to act...'—Inspiring quotes by the 'King of Pop,' the Moonwalker;Quote of the Day: Michael Jackson, the 'King of Pop,' confessed to profound loneliness despite his global fame and joyful childhood moments with his brothers. His early life, dominated by rigorous training and performance, led to emotional isolation. This quo…;https://economictimes.indiatimes.com/news/international/us/quote-of-the-day-by-michael-jackson-the-most-difficult-thing-is-the-decision-to-act-inspiring-quotes-by-the-king-of-pop-the-moonwalker/articleshow/130498414.cms;2026-04-24T16:14:57Z;Quote of the Day: A powerful Quote of the Day doesnt always come wrapped in grand philosophy. Sometimes, it arrives as a deeply personal admission, simple, raw, and impossible to ignore. Few figures … [+8386 chars];Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);neutral
Www.gov.uk;Foreign, Commonwealth & Development Office;Conflict remains a leading cause of hunger: Minister Chapman speech at launch of 2026 Global Report on Food Crises;Minister for Development Jenny Chapman gave a speech at the high-level ceremony to launch the 2026 Global Report on Food Crises in London;https://www.gov.uk/government/speeches/conflict-remains-a-leading-cause-of-hunger-minister-chapman-speech-at-launch-of-2026-global-report-on-food-crises;2026-04-24T15:37:02Z;"Thank you to everybody here for all that you do to put evidence at the heart of how we confront global hunger.
We are here to launch the 10th Global Report on Food Crises.
But were also here becaus… [+5906 chars]";Unknown;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);neutral
Mondoweiss;Michael Arria;How the corporate media helped fuel Israel’s genocide in Gaza;Mondoweiss speaks with media critic Adam Johnson about his new book detailing how cable shows, newspapers, and online news sites helped build support for the mass killing of Palestinians.;https://mondoweiss.net/2026/04/how-the-corporate-media-helped-fuel-israels-genocide-in-gaza/;2026-04-24T15:15:00Z;In his new book, How to Sell a Genocide: The Medias Complicity in the Destruction of Gaza, media critic Adam Johnson provides a painstakingly detailed indictment of the Fourth Estate, showing how cab… [+41143 chars];Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
